location_name,sex_name,measure_name,year,val,lower,upper,fitted,joinpoint_years
United States of America,Female,Prevalence,1997,432.38648839527,360.26650282688,514.50990358538,433.249953833423,"2010,2015"
United States of America,Female,Prevalence,1998,431.6960983313001,359.4417155503,513.9743317191701,433.13810262520894,"2010,2015"
United States of America,Female,Prevalence,1999,431.14897880118,358.67912921485,513.61050942745,433.02628029338064,"2010,2015"
United States of America,Female,Prevalence,2000,430.93607870005,358.66450919842,513.6519197588,432.9144868304831,"2010,2015"
United States of America,Female,Prevalence,2001,431.29856351893,359.03171236237,514.13944280948,432.80272222906325,"2010,2015"
United States of America,Female,Prevalence,2002,432.1325354853,359.74187352542003,515.3794018388601,432.6909864816701,"2010,2015"
United States of America,Female,Prevalence,2003,433.11544444097,360.34442158768,515.8918292303699,432.57927958085435,"2010,2015"
United States of America,Female,Prevalence,2004,433.92172485544006,360.69902190955,516.0555991551499,432.4676015191688,"2010,2015"
United States of America,Female,Prevalence,2005,434.22906802042,360.64240980664,515.6907083364899,432.3559522891681,"2010,2015"
United States of America,Female,Prevalence,2006,433.98045588005,360.9615555061701,516.8443973598501,432.2443318834088,"2010,2015"
United States of America,Female,Prevalence,2007,433.36580712136,360.94018169711,517.6060826358399,432.1327402944495,"2010,2015"
United States of America,Female,Prevalence,2008,432.46473916796,360.64701035095,516.22180219063,432.02117751485054,"2010,2015"
United States of America,Female,Prevalence,2009,431.34613471026006,360.15333841443004,514.62143325409,431.9096435371743,"2010,2015"
United States of America,Female,Prevalence,2010,430.07895772541,359.52978008388,512.96946484364,431.79813835398505,"2010,2015"
United States of America,Female,Prevalence,2011,426.91053322944,356.32713480485,508.08268123782005,426.1970831849438,"2010,2015"
United States of America,Female,Prevalence,2012,421.18490898276,351.63585884443995,500.20879845818,420.668681916464,"2010,2015"
United States of America,Female,Prevalence,2013,414.62067288757,346.80668489976,491.38574629758,415.2119921208947,"2010,2015"
United States of America,Female,Prevalence,2014,408.93632103551,341.91866190797003,483.62946153902,409.82608359525364,"2010,2015"
United States of America,Female,Prevalence,2015,405.84745395247006,339.03293189855,478.9322188688,404.5100382026555,"2010,2015"
United States of America,Female,Prevalence,2016,404.73931045516,338.18712380609,478.00938521946,404.2280914256183,"2010,2015"
United States of America,Female,Prevalence,2017,403.84841026946,337.54233448698,477.39821977469,403.94634116777115,"2010,2015"
United States of America,Female,Prevalence,2018,403.16494043235,337.0832706998,477.11304601698,403.6647872921386,"2010,2015"
United States of America,Female,Prevalence,2019,402.67997925326,336.57550831991,477.13031498737007,403.3834296618407,"2010,2015"
