location_name,sex_name,measure_name,cohort_label,cohort_midpoint,reference_cohort,cohort_rr,cohort_rr_lower,cohort_rr_upper
China,Male,Incidence,1970,1969.5,1959,1.0829088866051644,0.9274871289190426,1.2643751272917096
China,Male,Incidence,1974,1974.5,1959,1.0548213663744135,0.9170895873165463,1.2132381943356847
China,Male,Incidence,1974,1974.5,1959,1.0548213663744148,0.9170895873165473,1.213238194335686
China,Male,Incidence,1979,1979.0,1959,1.0736782042097592,0.9434309806438723,1.2219069649465415
China,Male,Incidence,1984,1984.0,1959,1.0926846107332,0.9581257339515398,1.2461408938563727
China,Male,Incidence,1989,1989.0,1959,1.1085279192476085,0.9690002909563717,1.2681463145265035
China,Male,Incidence,1994,1994.0,1959,1.0990326275644833,0.9528481404785748,1.2676445124242248
China,Male,Incidence,1999,1999.0,1959,1.081461584768682,0.9306088315742475,1.2567677413418974
China,Male,Incidence,2004,2004.0,1959,1.050131633736449,0.8982246842362201,1.2277289497022654
United States of America,Male,Incidence,1924,1924.5,1959,1.085516763624429,0.753823647460674,1.5631595640161016
United States of America,Male,Incidence,1929,1929.0,1959,1.074130979814815,0.7478574964031377,1.5427502797618464
United States of America,Male,Incidence,1930,1929.5,1959,1.0981140066006052,0.763708738546469,1.5789453631072496
United States of America,Male,Incidence,1934,1934.5,1959,1.0406166480715078,0.7345960516077266,1.474120376598265
United States of America,Male,Incidence,1934,1934.5,1959,1.0406166480715116,0.7345960516077291,1.4741203765982702
United States of America,Male,Incidence,1939,1939.0,1959,1.01051445074513,0.7205161992757688,1.4172331672641592
United States of America,Male,Incidence,1940,1939.5,1959,1.1075085211645914,0.7715256985081625,1.5898046258522693
United States of America,Male,Incidence,1944,1944.5,1959,1.0147485682494928,0.7289308728617369,1.4126369112640278
United States of America,Male,Incidence,1944,1944.5,1959,1.0147485682494921,0.7289308728617363,1.4126369112640267
United States of America,Male,Incidence,1949,1949.0,1959,0.9551238158386075,0.7049514227070014,1.2940771153834028
United States of America,Male,Incidence,1950,1949.5,1959,1.1101659398244232,0.777570973422007,1.585023690535004
United States of America,Male,Incidence,1954,1954.5,1959,1.0206686399076084,0.7431768453432699,1.4017719726045297
United States of America,Male,Incidence,1954,1954.5,1959,1.0206686399076115,0.7431768453432722,1.4017719726045343
United States of America,Male,Incidence,1959,1959.0,1959,1.1370707620333984,0.9161252718473286,1.411302534274678
United States of America,Male,Incidence,1960,1959.5,1959,1.1521189774219476,0.8075971243952155,1.6436142453204332
United States of America,Male,Incidence,1964,1964.5,1959,1.1049793589013062,0.8053240578910035,1.5161342463746375
United States of America,Male,Incidence,1964,1964.5,1959,1.1049793589013062,0.8053240578910036,1.5161342463746375
United States of America,Male,Incidence,1969,1969.0,1959,1.1320983199673134,0.8480796794240558,1.5112337167932144
United States of America,Male,Incidence,1970,1969.5,1959,1.2193242456943945,0.853231007421716,1.7424959983942143
United States of America,Male,Incidence,1974,1974.5,1959,1.1988470475222417,0.870842158261017,1.650395803325377
United States of America,Male,Incidence,1974,1974.5,1959,1.1988470475222428,0.8708421582610177,1.6503958033253785
United States of America,Male,Incidence,1979,1979.0,1959,1.2809509370581609,0.9561061341735795,1.7161643927412453
United States of America,Male,Incidence,1984,1984.0,1959,1.3270421448118117,0.9834627626655997,1.7906533129262248
United States of America,Male,Incidence,1989,1989.0,1959,1.3594695060215944,0.9981502292947875,1.8515823405744811
United States of America,Male,Incidence,1994,1994.0,1959,1.3521919010669121,0.9814229643932266,1.863032559505461
United States of America,Male,Incidence,1999,1999.0,1959,1.2977566956217774,0.928421165027522,1.814017715743511
United States of America,Male,Incidence,2004,2004.0,1959,1.2063561442359827,0.8490149064843229,1.714098463550097
China,Male,Prevalence,1924,1924.5,1959,0.9170005024428489,0.6474616638364544,1.2987485876736664
China,Male,Prevalence,1929,1929.0,1959,0.92020004090742,0.6514937333899712,1.299733323419642
China,Male,Prevalence,1930,1929.5,1959,0.9224271990804099,0.6528453210318368,1.3033285376978851
China,Male,Prevalence,1934,1934.5,1959,0.9432241668223859,0.6772260580208511,1.313699935702108
China,Male,Prevalence,1934,1934.5,1959,0.9432241668223873,0.677226058020852,1.3136999357021102
China,Male,Prevalence,1939,1939.0,1959,0.9526676098881403,0.6890713733436314,1.3170995197871687
China,Male,Prevalence,1940,1939.5,1959,0.9261897286354438,0.6570091637469537,1.305655173114432
China,Male,Prevalence,1944,1944.5,1959,0.9593295715727693,0.6977819582279721,1.3189123279013155
